ciphertext,difficulty
TKFD FIO PWINOIOIZ UHRO ZMPO MG DKOP KFAO LOOS DKMIMWCKUV SHXO XKFQZ,medium
GON MFDDNQNAKN INGENNA GON FSBVHHFIRN UAM GON BVHHFIRN RFNH FA MNGNQSFAUGFVA,easy
CXD BKZCSDCJ YT GNCKMD EB VMDNCDM WNGJ CEWDB YQDM CXNG CXD BKZCSDCJ YT CXD BDGBDB NGO KGODMBCNGOEGV,hard
ORXH XHK ZPYH P KHTHOOLGW GR IH XHPK PO LE GZHW AHUH HMHUTLOLKF P EPTQCGW AZLTZ GZHW ZPJ GR VPUGLPCCW KHFCHTG OLKTH HPUCW TZLCJZRRJ,medium
EOA WSA KOSV SPP GDZAYL OJWOXG YTTM MSBL,hard
R YHPSIRY QRE HN BWW PIWRLQHELSL BW BRFS XHN WGE NHLS HE R DORIISY,medium
STO ETZJFXXS PFUW MT NW NFGPWY FNTOM F NHM NS XHCW MT GWW MPW KTHEM TC YFCCTYHXG GOEGWMG FEY OEWUWEMCOX EHIW YFSG,medium
CDII QFNW HA WBO IHMD BKIW WBOP PB GDEEDF EB OUD WBOF TOPJLDKE,medium
FE DYFT FT HNEEII JRIKTI VXFWP CI TNCI DIK VQD FE DYFT FT DIK JRIKTI VXFWP CI TNCI HNEEII,medium
PM J AWJPS IAJAPBS PI HRYWY ARY AWJPS IABQI HRJAI J HBWNIAJAPBS,easy
XVJZNFGNYGN X FDXPN RNDTNNY LYSXYGK XYV XVIZDNOK,medium
DY HWZZFY ZJQ NZVF TPA FZQQZDF CZPS XYOZQY DY YUEYQRYPHY KWYB,hard
WQU KDAV JCAA VZXWDIZ VZU LRXLDKGUXUQLU WG VRKU HUGWXU CXXRFRQI CV VZU LUQVUX WG WJJWXVDQRVP,medium
DGQNWBMQDM WI YRM CQWAMEIHU HYYEHDYGE HQB QGYRWQZ IHKI DGQNWBMQDM UWXM QGY RHAWQZ H SWDXCS UWQM,medium
ZL BKF PFABK MH RQ JMEW BKFIF ZJ C YMIPWFJJ JMLX,hard
HS GFJ WJTAC RB HKJTM HG HM PJGGJW GR AJG GFJ CHSK MTAAN BRWGF JXJS HB MRCJ ZWJUHROM ZWJURSUJZGHRSM MOBBJW T CTOAHSL,easy
VHVDEPBLOF TQDPBTBLYV VOUC TV GDV LO PBV NVDNVPKGY NDQWVCC OQT WDVGPLQO AGPKDGPLQO WVCCGPLQO,medium
YBT YUZMWWU FA M SZRWDT RW MW FOREMZDBU RX WFY XF HMWETZFIX YF YBT SILORD CTOAMZT MX YBT MSMYBU FA M DRYRJTW RW M HTQFDZMDU,medium
MS UDEH GEACLBX WFJWVPA UDE PD OLEYG XD AD MS GW WFJWVPA UDE PD VHU XDBP MS UDE XDBP RBDT TGLP GW WFJWVPA TGLP LHW UDE XDMBY KLHHMWX,hard
GBH TM XIZCTXQ OGMO KDZ ZCO KOMZ WOBMIX IP HTMO EOX BRRGTON PIW BQOM ZI ZCO ZWBXMBUZTIXM BXN KDMTXOMM IP EBXATXN,medium
SU SO DKWJ TGEQCKU KCHCG UD TWVLC LDYTWCUC LDKNSQCKLC SK URVU ZJ ARSLR AC RVHC CHCK DKLC ZCCK QCLCSHCQ,medium
HTZCNT BT ETU CVN KTFNUE UCC IVOK CX FXDUKMXA WTU VE TLFIMXT KCB KFSSD FNT UKCET BKC FWNTFRD SCEETEE MU,easy
ZS QSPHRPK SXY WZZKPZRSP ZS ZKYYKOZYRWC IWZZKYO BSXCU EK ZS CRIRZ ZJK JXIWP OARYRZ,medium
PS P NTA HW JNRPJL P DRKMA YPMM LQLUW ULZRUELU PB ENL DRUMA GKE P TH OKUL DL DRKMA GL FLEEPBF ULZRUEO SURH NLMM GLSRUL GULTYSTOE,medium
SKSBCPQWC WTSG AUVI EVIISBG TG AUVI CQR WQ PSIASSJ JQA VJW AUSJ TI UVXXSJG IQ CQR,medium
BGCSUFGEJC EFO AGVO LOEN KOUKAO HBU WU UJ EJCHOFGJW XROCSGUJC SBES JU UJO BEC ECVOL SBOI,hard
PX PR NLPCB TFI MEB WMXPBKXCT XFPCPKA MX XLB CPXXCB XMRZR FY CPYB XLMX XLB UBMKPKA MKS RLMWB FY XLB AEBMX NLFCB FY CPYB SMNK FK TFI,easy
TPFC XQG RNF KQTC RCK QGL BQVFLPJCS RWTRXB LGNCB GI RCK JL JB GBGRWWX LPF CQBFB QU XQGN UNJFCKB,easy
QNANAUNQ JQLNYGX WX HET VWXX UH WX HET WQN YEZ XE EYIN ZWX L WX DEZ WX L HET EYIN ATXR UN VQNVWQN HETQXNDJ WYG JEDDEZ AN,hard
FPXB NWYJ YJP DXKBYQ TD TYJPEQ XQ SPUYBA XQ NWYJ ATKE TNU,medium
IX XIT KQP TMTH NXMTU QIJXIT FKT SQJ TMTHJXIT SQIFP FX LT NXMTU,easy
GB DQVV AF VBPY RBT JQPY GB SY AF GJY MGQGY BD HAFZ DBK AG GB GQOY VAOY Q ZAMYQMY,medium
LK A DLEP MU WX UPH A SPPG WXKPGS KB SMGG KB PRMLG DB WX KMICPYD LHQ KPP WX IBBE KB YGPLFGX IPSBFP WP AH PWIFXB A TBMGQ LGWBKD GAEP DB DFX DB KLX AD LGG AH L KAHZGP TBFQ,hard
HAEB FDIJ VF DHH OEAR AHB DSJ DPB GEANJP ZJDHCZ DPB D ZALJ CEJJ CZDC ZDF HAFC CZJ ODWVHCX AO LVCCUPS AVC GHAFFARF,hard
DU FMFNV NFHDEDJU RCFNF DW LU FHFQFUR JY RCF WBXFNULRBNLH MLNVDUE KDRC RCF DUYHBFUIF JY XBNF NFLWJU JMFN DRW AFMJRFFW,medium
HYWZW LEF E VSFHOZXEIGW SI BR YWEZH E QPSGW HYEH FUPAW HYWZW EIV FESV S LEIH S LEIH S LEIH SH YEUUWIWV WQWZR ETHWZIPPI EIV LYWI S HZSWV HP FOUUZWFF SH SH KPH WQWI FHZPIKWZ,medium
MEOKO YL C MEYJ HYJO FOMIOOJ HZLYJB TZAKLOHD YJ BZQ CJQ HZLYJB TZAK GYJQ,medium
YDD XYVGCJB YVG YC GHUYVVYBBHGCJ JZ JMGAV EAOB ZIJGC PVYCOXYVGCJB YVG JMG VGDAGI EAOB OZCJ MYSG JZ VGBABJ WZF,medium
WXSPOPIXTLX OP IVX IAOT POPIXS DG XMLXNNXTLX DTX OP E ZEIIXS DG UCENOIK IVX DIVXS E ZEIIXS DG IOZX,medium
SDA SJCSD VU YGCLX MDAL BAL HJA YJAA SG FCJUCA VS,easy
QXDZDQAHZ GY AXH ZHYCFA UE ASU AXGMWY LHMADF DAAGACIH DMI AXH SDK SH YJHMI UCZ AGLH,easy
OBX OSYX GYEEXGG TG OBX KXSGAL UBA TLJXLOXW BTIGXQN,medium
NAJLF CYL ILAO WKY TJRYE MJW ARH CYL ILAO WKY YUBYVWXALE,medium
BN VANM DAX ZAMMNMM KNCQXB LX ZAMMNMMNM BLI,easy
ITCDUFL XU FQD TGVL USJD KZXF HQDG LTS ZGPVD NTJ OJZXUD,hard
SGRFLSTHS ISBMMN RF BT RKJSIXSHL LSTFS LPBL TSDSI USHYKSF B JISFSTL,easy
G KU APX JM NDKQ G BGZX QT JP QYOP ZTQ NDKQ G BGZX QT JP ITIOAKY,medium
BFZZQIQWSQY BNWL OMLLQI MPP LKML OHSK UKQW XNH PNCQ YNOQNWQ,medium
WQQXLZ QJ GJNLAJLN WLPH GU CSUN M VPGVX MYMR,hard
BTJUFZEB XAZE DZAG F SAAX VFBETJ ELWW EQTH QFUT BTJUTX F GAJBT,medium
RH WHM GPHL LODB EKTCPRNOTU TN TB TN BH VC VKHBOCK DPR NTNBCK BLH NHMXN LOTJO BHMJO LTBOHMB ZTPFXTPF BLH ETPFCKN HP HPC ODPR,hard
OTP LCDP DROYCIRW RI YIJOYOMOYCI YJ OTP WPJJ YO JMXXPDJ EF LRZYIN GCIGPJJYCIJ OC COTPDJ,easy
XKVI EVUUOYKJJ OJ DEKVU KYLFBE NKZ ELQ TKVXIN QK UVN MLX OZJ DLFYZKXMKOZ,medium
HMW JGTI UA IOTTOWD JOHM EZOTM JOHM NLOMJTR IOTTK JZMH,medium
FK VMZA XMY WZ WXXKOGUMZ WVGMAKGJKY UAZMYWZG MX MTY XWTVGE JKWNKZ JWE WOOMYCKC GJUE GM TE UZ GJK TZOYUGUOWV OWZUZK WGGWOJBKZG,medium
ZDKA MQS UTAJQMQYL MQS TGSGQJ DQ M YMPAZ YMQQDH OA VGS,hard
RUC JXU BAKSACDLAKYUB WXVR HVRUC ZG SYUAX IVRRASRUCS SV BV FAVQUCIU XJSYUX SYJC SV ZU FAISARAMUB ZG AS,medium
RI MRL WIIOW CLU SGXQ FHWE ZI GE WLFI IPAIQWI,hard
WVOKEYVMYPW GRVEPKAP VAF IKOEYLYKP KZKETODYAQ WVSYAQ KZKETODYAQ ZXMQVE VAF KZKET OEXOD LVMPK,hard
OF XHFUFRI UY OYHD CFBLMGF UAFE XHFUFRI UY XLE MG,medium
JLWNLLK FH BKG WZL JRWWRO RX WZL HLB NBH TLHH WZBK BK DKUZ RX NRRG BKG ILW D NBH FKBXABDG,medium
RGM IBHHMIIUBW YOQ SXWW ZADUXR UADY GXI YXIROTMI OQF RAN OCOXQ XQ O FXUUMAMQR SON,medium
FEZYBK BD PJPT FD LQFRLY MLZBEFQYQO ADL FEQ IPKKPBQ,medium
ITJNDO UVJQKA JNTFT UFT RYQJT U HTS ITJNDOL IQKT QKBDCBTL U CDJ DH JUCTKJ U ACULL UKO LDIT VFUVGTO QVT,easy
QW TWI IZC IW EHRK CWHZ GLC IKZWHJK IW IKD VZWTI ZLTPR WV CWHZ EZWVDRROWT QW TWI ZHT LVIDZ QORIOTYIOWTR LTQ ZDGLZQR MHI QW CWHZ HIUWRI IW VOTQ LT DTIZC OTIW IKD GWZBQ WV MDLHIC,medium
NO VNUPFWUBFP WC NO VEZP QP WFP WCUEONCKPR WU UKP IKENIPC TWRP MX EUKPF LPELVP,medium
QRBC QC YFB CJ UJ JFC JB CLI UJNY PJFHRI SBA NQI QB CLI RFB,easy
ESDEZS NYD PDZZDN BZZ RYS COZSL BUF WYBLS SXSCH RCSUF RSUF RD KSR PDCKDRRSU RYSH ZDDM KCSBR QOR RYSHCS UDR BL JSJDCBQZS,medium
KM GME IRPE EDJ EPCJ IPNN GJTJV QJ FABE VPUDE BERVE IDJVJ ZMA BERGK RGK IMVY IPED IDREJTJV EMMNB ZMA CRZ DRTJ RE ZMAV HMCCRGK RGK QJEEJV EMMNB IPNN QJ LMAGK RB ZMA UM RNMGU,medium
LODOS ZI SOKAORBNML ZXB MLAI ZI GMNLU NQ QOAKTLMFAOGUO JMQQNZAO BM MLO,medium
KBLK FCG NLX GOUD MQUNLKTQUCV PBFDU NUNFQV QUSFQGD XF HUXUJOKD SFXJUQQUG KBUV FXCV BLYU COYUG CFXR PBF BLYU COYUG YOQKTFTDCV,hard
HTFL SF DBJUJF FLBLURJE LWAJLRJY BQ S OTBCL MSYP WTY GWEBJF FUYSDGWWXF GBQE LWAJLRJY PJPWYBJF LW MSYP WTY RJSYLF,hard
HT DKT FTJFWT VUT DKT UPXKDIZW OVMDTUM JI CJDK BJYXUTMM VYR DKT BJZUDM YJD DJ JETUDKUJH DKT BJYMDPDZDPJY CZD DJ JETUDKUJH DKT OTY HKJ FTUETUD DKT BJYMDPDZDPJY,medium
UGNMH NJTHZGY JZ AZH JTYPZFNG AZG SGZJKPN UGNMH MKHIZGY UGNMH MKHIZGY PGNMHN MAJ SGZJKPN UGNMH SKXWTYINGY,medium
RJE FJOQ OUUF QJ FVU QJ DOJG GTHQ VQB SVDU QJ WU H YTJBQ,medium
KD OLUQN XU HT OSBKPF XSVTM KP XAT QPKXTN MXSXTM XAT UPEB XAKPF KM K GUQEN HT CQMX SM OLUQN RUL ASER XAT DUPTB,hard
MXLQKIGSP JGAZ NJGUTXK CIJCAI TG SFITX JOG JCTGTJGP,medium
QJKU XUK JPG UX VKPB BZDK XUK BZWKG YC FZVPNKG ZMG GMZBB YKMMKV MJPU UXMJZUN,medium
BQLY CXXQXNCRHY RAN CFLQHY QR C HWQXQX,medium
ICMURC JRXGFQI FV XWRC FY FV GRQGRTW RQT FY FV RQ FGDMXYRQY DXMUCWG ULY FY FV QMY YEW WQT MN YEW JMXCT,medium
FQFBD VTNF PTRVSBD BFJFYVR TVRFWX VPF JBTMF ESFR CJ,easy
QRVOV JOV MY SMBMQVOVFQBMN QRBMNF QRVOV JOV YMGC SMBMQVOVFQVL WVYWGV,easy
TYQKUZ KW PHZ PM COPWZ COKHIW KC KW MTX BPXZ ARZWWZY CP IKQZ COTH CP XZUZKQZ,medium
YZA BAAW IFN XZSBHA QMPPWFTAW S NFSW WFOB YZA XABYAN FI DJ DUBW,hard
VWVNSZVNMZNHZQL ZQ UTGENSZQL ZH VKT VBTSUVK DTHVGMP QTHQT WU VKT BWME,medium
FZK DPDKBF FZK JIUMK GKJPIMKJ FZUF ZK QRII BP IPBLKG OK U JIUMK ZRJ AKFFKGJ AUII AGKKWPD UBW JIUMKGS UGK DKBFUI JFUFKJ,medium
LV QU PA YAS MFTYJU AXG PLGUMSLAY QU TGU BLWUBH SA UYP XE QFUGU QU TGU FUTPUP,medium
NWXPI NZZ D LXYZF BXG IEQIJG N LDHI KNJI NG CKING IEQIBHI GX HIG ZXXHI NB NKST XR HIZRKIQZDJNGDBC KXWXGH,medium
AGL ETALYTLA GZI ULLT AGL CVIA HNTSZCLTAZR PGZTML SNYETM CD REHLAECL ZTS HVY GNTSYLSI VH DLZYI,easy
HEDD ES METU ZXVMUZ VMXI HEDD ES HOSU OD QMXV PUFOPUD VMU ODDGUD ES QXZ RGV MUHTHUDDIUDD OIPGFUD METUHUDDIUDD,medium
ERIZI MX UYERMUT CZYUT CMER LFQMUT LMXEFQIX POXE KYUE ZIXBYUK CMER IZZYZX,easy
BP GLFP LKC AGXTPV PXCVQ BP WQLKGH SV SW LKC QLRP XTH VQPCPW TL AGXDP GSJP QLRP,medium
OTVFZC ZTMBX NXXAZ VCZ OMCQT KVYCGX VZ URC OTRFFJ XWCVULGVZTXI VU CTX TXMYC URY OVFF BRIXYMCVRU PX GCCXYFJ XWVFXI EYRB CTX BVUIZ RE CJYMUCZ,hard
IDC SKWI ZMOUCHKEW SKSCOI JKSCW XAID FAJIKHG,easy
RSURDS PGU QIHS ZKC UZ SXSNELGWCV AIC CSXSN LNKDE ZIDD WC DUXS CUN LNKDE TSDWSXS WC VUY,medium
BQEBG TLQAVNT XQHP IQNEPZVB IPHVNTB XQAZVCT,medium
GV GE MCPU EZRPPML IXMIPX LZM OM CMV KDOBX QU RIIXRNRCAXE VZX VNDX HUEVXNU MJ VZX LMNPO GE VZX SGEGQPX CMV VZX GCSGEGQPX,easy
JA WHTRJKOLA OIAK QLE STRQ FLT QJCW RLSSOKKWH KL SWSLZF LZ WCWA QLE STRQ FLT UALE OKI VWOAM JVDW KL HOPPWZWAKOJKW VWKEWWA EQJK FLT HL UALE JAH EQJK FLT HLAK,easy
VP UTD YSIG SQBSUX LTJG VZ ZYSZ BSU VZ VX WOTMSMQU BOTJK,easy
BRGWZMW RB QB HWWS QB WJWDZRJA BSWWMV QB BVQGGFK QB JRXW,hard
C QZR QS QNBX SYX GNR NQ N QCKX VEQ MSKXQCKXM MXIXZNW GNRM NQQNJB KX NQ SYJX,medium
SZSGLQKTIY HKOIYSF IXQKTIY GSPOTIF UTQKXBQ HKOIYS,easy
LZVGHTVX AJBTOF VU BHUN NWJO XUG MZO FJOFJ XUGH MUOMJHO YUH UVWJHF UGVNJTBWTOB XUGH MUOMJHO YUH XUGHFJQY,hard
FTXI WIUXCN UM YWB JTXQ WHX FMHNX JTWI WIQMIX XCNX,medium
KGDKH KGB JGUXB MVUNXBQ JYKG HRYBTRB FUWAB EUK D NWTRG UI BQMYVYRYHKH KVFYTE KU ZBHRVYNB KGYTEH UI WTYQDEYTDNXB JUTZBV,easy
ZIKEPK FW EQKEU ETU RYZXWJK PWSRKMB RO BWL SET VLM YKETGQRIK ZKWZIK EXK PLOOKXRTF ETU R QEJK E DWV MW UW,medium
IWXSPIA PF PIFPAIPRPDYIX PI XSQ SPFXWVO WR Y OWNIA DWTTNIPXO YIB YLWUQ YJJ IWXSPIA FQQTF PTMWFFPLJQ,medium
DPM GFRVJS RVTRRMEY TRLFD GEMNMQDTDJNM KMXJSJQM RFD IJVV QMJDPME TGGEMSJTDM QLE GTA ZLE JD ALF OMD GTJX ZLE IPTD ALF SFEM,medium
S USK NY MLAV SQE EW XWUQHSNK WJ EBL NKIASENEDZL WJ EBWYL CBW BSML ANYLK JSA STWML BNU,easy
PENRHPC NRKHGGD B IGBDDHIBG LODHI IKEQS LEKA NRBP B PAQ ZHAIA EJ LODHI NRBN SEADPN LBWA NRAL ZRXDHIBGGX HGG,medium
TVO TO COB NZBO BCPDCJCQTDO CB T UCBOTDO WTVKA ITVDCDP BABOWN OYTO QTD TKITAB XW VWKCWU ZD OZ OWKK OYW ZKU QEKOEVW IYTO CB XWPCDDCDP OZ YTHHWD,medium
AP RUM VQZSSK GJM MIVM TUSQRM PSVR AP VHVDS,easy
TYXTQY HDY UXDY LJPYDYZPYF LJ NYLJE WLZLNQY PRHJ PRYV HDY LJ QXWLJE XPRYD TYXTQY,medium
ZPXSI TYFS XPMS WP PDDSM WTRN ZPMBU WTYI EONW Y DYBBPCRYI WOAS,hard
GDUAB WMV URXCYZU ZYLZYUR FAEY MX XNRYZ,medium
ET JDHYUJBETR MYHSVLEUH OJYAETR NJRHNIHY EG HDHT BJYH HXXHUNEDH NIZT NZWAETR NJRHNIHY,hard
QU QZMV QU JULKUXK CYU PUKJ XUQ MEJQKX EJ KXURDY QU QKXJK QYK PKOEM,easy
DTYF DY DYBY ATJIPBYF DY DYBY OBLWYXCI WR WTRQY DTR XJIIYP RCB QWRAGJFOQ LW ATBJQWVLQ WJVY DTH LBY DY FRW OBLWYXCI WR ORP XRB XJIIJFO RCB QWRAGJFOQ DJWT IYOQ,easy
EQNR QI EQDR XM PMQPM ZPB URRE PNN EXZRG XNWRG EXZRG XMY WFRM ZPB NQMY WFRGR QI MPWFQMV QM QW,medium
FNL TQYX ZXQSDXC ONVXATWDI ATQA QZEQFO HXXZO QA HWSOA QO WH FNL TQC ZNOA ONVXATWDI,easy
ICW WLLVG VQPPQJDNEQLG EXLA CUL WLJLGGCUA PTU XLCNEX,medium
UQ IUVI RSXFM FCDQ CP EQVGQ VPM VI QVHQ KXHI PSI HEQVL VFF UQ LPSRH SO VFF UQ HQQH,medium
SFJ AT HCV GCMTJ CWYLTGMTL FV FGG AT PCWGJ HTMTY SFMT ZTTH CZGDRTJ VC GCMT FHIVSDHR LC VSFV LTGXGCMT DL VST ZFLDL CX FGG GCMT,medium
HUZ FHZXDU GT HUZ HPEBK GT ZAG BX GVP UBFHGPW BH BF ZAG ZAG HUZ TGVXHEBX DPW GPBABX FGKZ FGVPDZ GT QEP,hard
AZOJ O VROSVW OSG XQT BQSL JW PQZZX HQZ O YFARLROIWJWWS,medium
MBRBRVBM STJS OTJS NACCY STB YSMFKHY FY STB GXMUB TFWWBK OFSTFK STBMB CFBY STB NXOBM SX NBMYAJWB STBMB STB CFGB STBMB FG XKB RAYS YNBJL XAS STB MBJC RJK,easy
UG PMICF QGZK SBNNSG IT RJMPBML CUI GYHGONF EK JMK TJONF IZ ZGJFIMBMW NI OIMQBMOG J LGNGZRBMGL HJZNK RJM,hard
QUPBIFOFOQ IS BSY KTOY HF JFGPTQF YKFE IS BSY KDY HF,hard
XW FCTD RWI OPPA VB RWIS CPTSD DW HP SVLCD RWIAA HP USVDVUVQPX TBRFTR,medium
HFGX ETWX OTDZ GX UCR JX GQ EFWX UCR OX OTEE LFGX CXO IEXULPKXL IKFWX FN BFERXC LUCRL UCR HKQLDUE JKFFML OTDZ LTEMXC ETCXL UCR LTEWXK ZFFML,hard
RNUIXABS WNBTYO FI B LUNBYNU UNKXCCNAGBYFXA YPBA BAO SNYYNU XM UNMNUNAKN,medium
GSS MBW AXNGSSWQ AWNLWMA XP ARNNWAA EHSS FXM EXLT RFSWAA KXR QX,easy
CJK LWQCKDHTUCYWQ WX CIBCJ UQS OKUBCA YM CJK HIWHKI WOPKLC XWI NJYLJ NK NKIK LIKUCKS NJYLJ LUTTM XWICJ CJK DWMC YQCKQMK SKMYIKM WX CJK MWBT UQS WX NJYLJ YC QKZKI CYIKM,hard
JHJMS RDCJ ZQG YDHJC DG QG KWCJMHQFKMS,medium
YDKQ WG AYQ CEGA AD ERETVDT AYQ XTYEKKH,medium
FLAOGFS GM ABEU QEA AOIA NOGPO GM MGJTXU,easy
SNOK OBG ZT QSN USGUSASMQA NM XYNFXMNUL JZLNFS,hard
BRDFD HOD BRD TVYGF IRV UOVCNRB CF BRD RLQOVNDW UVZU TVONAJD ZD YVOQ TVO WVB UDAWN ZVOD NOHBDTCY BV BRDFD GAWQ FVCYF,medium
DLM DGJ DLM LGC TGXXMV QVSI SLM LGVCD IT IVM IT SLIDM CIUSIND JLI LGKM DSNGAMC SII TGN TNIR GWWGNMVS QV SLM CQNMUSQIV IT SLM DIHX,hard
WZSD SDA YJCD J ADQDWWREU EZ HD SDJA JW RI EYDU XDKD DTDKQRWRAL J IJQVGEU XYRQY EYDU YJF EZ BJKERJGGU ADLGDQE WRAQD DJKGU QYRGFYZZF,medium
SH ZPKR JIR LIXMHR RCUR OR OK JIR U RCOJM RCUR GHJFK KOMJOLOVUJVH RI U ZIZHJR OR OK RCH ZIZHJR RCUR GHJFK KOMJOLOVUJVH RI RCOJMK,medium
RD EJWRORAN KJP DGMGC LDJU UFJN SJRDS OJ VRG CGORCG JC RD RWWRDJRN SGO RDVRAOGV,medium
KFBZ M WFHZJ HP UAZB HWP UAZB UAZW RAAV DMOV RAAV TAIKMIU WA XAYI ZBLW ADSBOWHNB,easy
KFQZ CWQLM AH JQLW RFUKWSWE QK EWUYYP QZ XALZQZKZ AH U YQKKYW HYWZF U YQKKYW CEWUKF ULG KFW NUEK RFQXF MASWELZ,medium
ONM JWIMKGSXE TNMMH CUMJXO KHTKRJ EMO ONM EYMKJM JUQMOSQMJ SO EMOJ YMBHKLMC,easy
JNR EFNRWC DNA WGLH NDH MBJ GD IPGLBAH BDNAFHP GD IRQWGV,hard
