Cryptogram,Encrypted Author,Rating,Quote,Author
"JROACO UCA MG BSM YG WRKA HRYI, PSY YIAD JULA NCAUY UMTAOYGCO.",YGJ OMDQAC,medium,"Misers are no fun to live with, but they make great ancestors.",Tom Snyder
"MQXGQJ LMQ AG MQX MDGFQN GB OGHC, THGWVAJA VN VZQ’N NEJ OGHC EJ VZ ZFTTGZJA NG RJ AGVQU MN NEMN DGDJQN.",HGRJHN RJQLEIJX,medium,"Anyone can do any amount of work, provided it isn’t the work he is supposed to be doing at that moment.",Robert Benchley
J ZJRN HMPR; JV TFKGJDFVNK ON. J GFD KJV FDL ZMMR FV JV TMP WMAPK.,SNPMON R. SNPMON,medium,I like work; it fascinates me. I can sit and look at it for hours.,Jerome K. Jerome
LHWJU JHKFWJU WD SXOM FPOL KH LH. MHQ JXSXO AJHR RFXJ MHQ’OX IWJWDFXL.,CXDCWX JWXCDXJ,medium,Doing nothing is very hard to do. You never know when you’re finished.,Leslie Nielsen
XET’A SE YCEMTX HYRVTS ABF IECNX EIFH REM Y NVKVTS. ABF IECNX EIFH REM TEABVTS. VA IYH BFCF ZVCHA.,LYCP AIYVT,medium,Don’t go around saying the world owes you a living. The world owes you nothing. It was here first.,Mark Twain
MOO B’XL LXLZ HMQULE HMN MQ DPQLNU HLLW’N TMA YPZ MQ DPQLNU EMA’N HPZW.”   NKU. RBOWP.,NULXL VMZUBQ,medium,All I’ve ever wanted was an honest week’s pay for an honest day’s work.”   Sgt. Bilko.,Steve Martin
I KXPPQEQ QLCKIDYXB YF XBQ XZ DMQ ZQA DMYBEF I RQSFXB YF AYPPYBE DX RIH ZXS IBL BXD EQD.,AYPPYIT PXAQ NSHIB,medium,A college education is one of the few things a person is willing to pay for and not get.,William Lowe Bryan
"FZ APNB BFCP, F NIIKAP ERK, QSPAP FI ZR IKDS QSFZJ NI NBJPOAN.",CANZ BPORVFQT,medium,"In real life, I assure you, there is no such thing as algebra.",Fran Lebowitz
DBK QOJ BHRD DBKHS BHPJ. QAVJO VIQV DBK IQXJ VB VITHE KN WBLJ BVIJO JGPKWJ.,YTRRD QOVIKO,medium,You are only young once. After that you have to think up some other excuse.,Billy Arthur
BUI YFC’H XVOMVJV VJVEBHWMCD BUI WVFE XIH BUI YFC EVZVFH MH.,FCUCBRUIA,medium,You can’t believe everything you hear but you can repeat it.,Anonymous
P REBBWY WB P YNKBEM HAE SKNPDNB DAN BTEIN WM HAWSA EDANK YNEYFN PBBOTN DANKN'B ZWKN,VPM XNMMNDD,medium,A gossip is a person who creates the smoke in which other people assume there's fire,Dan Bennett
QTL AFWB QTEFP MAIJL QTXF OLEFP QXWDLN XOAHQ EJ FAQ OLEFP QXWDLN XOAHQ.,AJZXI MEWNL,medium,The only thing worse than being talked about is not being talked about.,Oscar Wilde
AB’R RT LPHF XNRAXY BT RPKKXRB RTZPBATCR EFXC JTP WTC’B MCTE BTT LPHF NSTPB BFX DYTSZXL.,LNZHTZL OTYSXR,medium,It’s so much easier to suggest solutions when you don’t know too much about the problem.,Malcolm Forbes
GSNGRS VKP’A YTXOS LNI VTKJL XC LNI YNP’A HXOS AUSE AUS WSLM.,EXWS ZSVUARS,medium,People can’t drive you crazy if you don’t give them the keys.,Mike Bechtle
ZFYOUGYOZ HFC WGO GD JOM IU DGNTU IDM HFC MFD’U TIEO I ZGDNWO UTGDN UF RFKKH IJFCU. UTIU IWRIHZ RFKKGOZ YO!,PTIKWGO JKFRD,medium,Sometimes you lie in bed at night and you don’t have a single thing to worry about. That always worries me!,Charlie Brown
M VYIVSK XHHD IMRB IMZF. KHEFRMEFK M FUFZ VLL MR RH RBF JHHL.,I.X. JMFYLK,medium,I always cook with wine. Sometimes I even add it to the food.,W.C. Fields
RWBREN CK NKZTD BORS EKX NRVC EKX’C CK CDXPY. SORS BVWW STRFO EKX SK YTTJ EKXD HKXSO NOXS.,TDPTNS OTHVPIBRE,medium,Always do sober what you said you’d do drunk. That will teach you to keep your mouth shut.,Ernest Hemingway
"YFF SEC SEBJRM B FBXC SG TG YZC CBSECZ BPPGZYF, BFFCRYF, GZ HYSSCJBJR.",YFCKYJTCZ QGGFFIGSS,medium,"All the things I like to do are either immoral, illegal, or fattening.",Alexander Woollcott
"SIEFUS OZUT EQI DHCOD UH WIIF TUZGCK THVIKEB, FBCOD CO SHTGCUEFT KBCOD HW OHUSCOD.",QIKK WHJ,medium,"Health nuts are going to feel stupid someday, lying in hospitals dying of nothing.",Redd Fox
NU KWQUJSE WNBSF QUWMZHY DUWEFD NBBAL. VBS GWV MZU BJ W GZLOQZHF.,GWQA FXWZH,medium,Be careful about reading health books. You may die of a misprint.,Mark Twain
"BQ BC TCSISCC QH QUK QH DHIY M ASUCHV QH MVKQDBVZ DS CMKC ODBIS DS’C FMYIK BV IHGS, YUTVX, HU UTVVBVZ LHU HLLBPS.",J. JBUYCHVZ,medium,"It is useless to try to hold a person to anything he says while he’s madly in love, drunk, or running for office.",B. Birdsong
PSL BVYH PRFL ABFL CLYYBIA OQL LWLQ ALLV IRPS PSLRQ IRWLA RA OCPLQ PSLH’WL DLLV RVERXPLE.,URV SGDDOQE,medium,The only time some fellows are ever seen with their wives is after they’ve been indicted.,Kin Hubbard
"ZG PM GZYJM HQK XQU’M JKBBVVX, MYH, MYH PWPZU. MFVU IKZM. MFVYV’J UQ KJV CVZUW P XPLU GQQR PCQKM ZM.",O.B. GZVRXJ,medium,"If at first you don’t succeed, try, try again. Then quit. There’s no use being a damn fool about it.",W.C. Fields
"U RGJH NC AWH BNSQ GM TUS VWG, VWHS ZGP UCB WNT WGV WH NC, WH AHFFC ZGP.",LWUSSNSO DGFFGLB,medium,"A bore is the kind of man who, when you ask him how he is, he tells you.",Channing Pollock
WPJ MJKJG DJUW YEJFW YMUJGGXLU UPJ JFWQ ODIH IO PJG SIMKJGWFUYIM.,RJFM HJCWUJG,medium,She never lets ideas interrupt the easy flow of her conversation.,Jean Webster
EX WMK WDJHGXBB NEX JDBN QDGOB VKND NEX BJMZZXBN VOXM DC MKL JMK V PKDQ.,MYGMEMJ ZVKWDZK,medium,He can compress the most words into the smallest idea of any man I know.,Abraham Lincoln
"UG SBH SRPH JQPHQKH JCGJ, ‘SQ PCXH C YQKT JSQAG JBQAS,’ RS’J SQQ YCSH.",IQK BHAQYI,medium,"By the time someone says, ‘To make a long story short,’ it’s too late.",Don Herold
RPH XMZH RPMXQ BKAER HQARMVRV MV RPBR RPHO CAX’R RBSF BKAER ARPHI WHAWSH.,SEZMSSH V. PBIWHI,medium,The nice thing about egotists is that they don’t talk about other people.,Lucille S. Harper
KJW UCDW ZRIK ROPNK OWCUA R ZWYYCFCYK CY KJRK SPN RIW DPUYKRUKBS OWCUA WCKJWI ZIPGWU ICAJK PI ZBWRYRUKBS YNIZICYWX.,AWPIAW VCBB,medium,The nice part about being a pessimist is that you are constantly being either proven right or pleasantly surprised.,George Will
H’O KGI GBBDKQDQ JZ JXGKQD RGFDL JDMYVLD H FKGT H’O KGI QVOJ…YKQ H YXLG FKGT INYI H’O KGI JXGKQD.,QGXXZ CYUIGK,medium,I’m not offended by blonde jokes because I know I’m not dumb…and I also know that I’m not blonde.,Dolly Parton
UX EFX 10% TY TED WDZNLF. NPZQNLX GTU PEVG UX VTERH ZVVTPKRNFG NY UX EFXH BGX TBGXD 60%.,XRRXL HXQXLXDXF,medium,We use 10% of our brains. Imagine how much we could accomplish if we used the other 60%.,Ellen DeGeneres
ZUK ZMAXOP QDT AXBAXAZT: ZMT HXAYTDPT QXG MHJQX PZHWAGAZN; QXG A’J XKZ PHDT QFKHZ ZMT HXAYTDPT.,QEFTDZ TAXPZTAX,medium,Two things are infinite: the universe and human stupidity; and I’m not sure about the universe.,Albert Einstein
QFZRB XK FXV AQJCZH QFM LGMNLEM CMNAXR ZA LRH NMLDZIM FLDK XK QFMT LNM AQJCZHMN QFLR QFLQ.,EMXNEM WLNDZR,medium,Think of how stupid the average person is and realize half of them are stupider than that.,George Carlin
"WY NKXOWMWKD BZK XN WEKZ KQWN GRNN, KQRE SQD TVE’K WK BRK XN ZXK?",SWUU FZBRFN,medium,"If stupidity got us into this mess, then why can’t it get us out?",Will Rogers
"F JZE’N QYAFYMY FE KYFEBWKEWNFZE, WEJ F JFJE’N QYAFYMY FE FN PRYE F PWX W RWDXNYK.",XRWEY KFBRFY,medium,"I don’t believe in reincarnation, and I didn’t believe in it when I was a hamster.",Shane Richie
