quote,author
Always do sober what you said you’d do drunk. That will teach you to keep your mouth shut.,Ernest Hemingway
"All the things I like to do are either immoral, illegal, or fattening.",Alexander Woollcott
"Health nuts are going to feel stupid someday, lying in hospitals dying of nothing.",Redd Fox
Be careful about reading health books. You may die of a misprint.,Mark Twain
"It is useless to try to hold a person to anything he says while he’s madly in love, drunk, or running for office.",B. Birdsong
The only time some fellows are ever seen with their wives is after they’ve been indicted.,Kin Hubbard
"If our Founding Fathers wanted us to care about the rest of the world, they wouldn’t have declared their independence from it.",Stephen Colbert
"If at first you don’t succeed, try, try again. Then quit. There’s no use being a damn fool about it.",W.C. Fields
It is not enough to succeed. Others must fail.,Gore Vidal
"Thankfully, perseverance is a great substitute for talent.",Steve Martin
Some cause happiness wherever they go; others whenever they go.,Anonymous
Whoever said money can’t buy happiness simply didn’t know where to go shopping.,Bo Derek
One of the keys to happiness is a bad memory.,Rita Mae Brown
"A bore is the kind of man who, when you ask him how he is, he tells you.",Channing Pollock
She never lets ideas interrupt the easy flow of her conversation.,Jean Webster
He can compress the most words into the smallest idea of any man I know.,Abraham Lincoln
"By the time someone says, ‘To make a long story short,’ it’s too late.",Don Herold
"There but for the grace of God, goes God.",Anonymous
He is a self-made man and worships his creator.,Henry Clapp
The nice thing about egotists is that they don’t talk about other people.,Lucille S. Harper
People who think they know everything are a great annoyance to those of us who do.,Isaac Asimov
"An optimist is someone who falls off the Empire State Building, and after 50 floors says, ‘So far so good!'",Anonymous
The nice part about being a pessimist is that you are constantly being either proven right or pleasantly surprised.,George Will
The optimist proclaims that we live in the best of all possible worlds; and the pessimist fears this is true.,James Branch Cabell
I’m not offended by blonde jokes because I know I’m not dumb…and I also know that I’m not blonde.,Dolly Parton
We use 10% of our brains. Imagine how much we could accomplish if we used the other 60%.,Ellen DeGeneres
My definition of an intellectual is someone who can listen to the William Tell Overture without thinking of the Lone Ranger.,Billy Connolly
"When it doubt, look intelligent.",Garrison Keillor
Two things are infinite: the universe and human stupidity; and I’m not sure about the universe.,Albert Einstein
Think of how stupid the average person is and realize half of them are stupider than that.,George Carlin
"If stupidity got us into this mess, then why can’t it get us out?",Will Rogers
"According to most studies, people’s number one fear is public speaking. Number two is death. Death is number two. Does that seem right? That means to the average person, if you have to go to a funeral, you’re better off in the casket than doing the eulogy.",Jerry Seinfeld
"I don’t believe in reincarnation, and I didn’t believe in it when I was a hamster.",Shane Richie
Always go to other people’s funerals; otherwise they won’t come to yours.,Yogi Berra
