Cryptogram,Encrypted Author,Rating,Quote,Author
"UG SBH SRPH JQPHQKH JCGJ, ‘SQ PCXH C YQKT JSQAG JBQAS,’ RS’J SQQ YCSH.",IQK BHAQYI,medium,"By the time someone says, ‘To make a long story short,’ it’s too late.",Don Herold
"YFF SEC SEBJRM B FBXC SG TG YZC CBSECZ BPPGZYF, BFFCRYF, GZ HYSSCJBJR.",YFCKYJTCZ QGGFFIGSS,medium,"All the things I like to do are either immoral, illegal, or fattening.",Alexander Woollcott
RPH XMZH RPMXQ BKAER HQARMVRV MV RPBR RPHO CAX’R RBSF BKAER ARPHI WHAWSH.,SEZMSSH V. PBIWHI,medium,The nice thing about egotists is that they don’t talk about other people.,Lucille S. Harper
"KTHLYFA RC OYLLKTO SFGGKYA FOFKT, K’S ORKTO LR CKTA F MRSFT K ART’L ZKIY FTA OKXY JYG F JRBHY.",GRA HLYMFGL,medium,"Instead of getting married again, I’m going to find a woman I don’t like and give her a house.",Rod Stewart
KJW UCDW ZRIK ROPNK OWCUA R ZWYYCFCYK CY KJRK SPN RIW DPUYKRUKBS OWCUA WCKJWI ZIPGWU ICAJK PI ZBWRYRUKBS YNIZICYWX.,AWPIAW VCBB,medium,The nice part about being a pessimist is that you are constantly being either proven right or pleasantly surprised.,George Will
"XTJVQT FVK LDQQF D WTQRVH, FVK RSVKAP JYQRB LDET BSTL KRT D NVLWKBTQ UYBS RAVU YHBTQHTB RTQOYNT BV RTT USV BSTF QTDAAF DQT.",UYAA JTQQTAA,medium,"Before you marry a person, you should first make them use a computer with slow Internet service to see who they really are.",Will Ferrell
H’O KGI GBBDKQDQ JZ JXGKQD RGFDL JDMYVLD H FKGT H’O KGI QVOJ…YKQ H YXLG FKGT INYI H’O KGI JXGKQD.,QGXXZ CYUIGK,medium,I’m not offended by blonde jokes because I know I’m not dumb…and I also know that I’m not blonde.,Dolly Parton
UX EFX 10% TY TED WDZNLF. NPZQNLX GTU PEVG UX VTERH ZVVTPKRNFG NY UX EFXH BGX TBGXD 60%.,XRRXL HXQXLXDXF,medium,We use 10% of our brains. Imagine how much we could accomplish if we used the other 60%.,Ellen DeGeneres
ZUK ZMAXOP QDT AXBAXAZT: ZMT HXAYTDPT QXG MHJQX PZHWAGAZN; QXG A’J XKZ PHDT QFKHZ ZMT HXAYTDPT.,QEFTDZ TAXPZTAX,medium,Two things are infinite: the universe and human stupidity; and I’m not sure about the universe.,Albert Einstein
QFZRB XK FXV AQJCZH QFM LGMNLEM CMNAXR ZA LRH NMLDZIM FLDK XK QFMT LNM AQJCZHMN QFLR QFLQ.,EMXNEM WLNDZR,medium,Think of how stupid the average person is and realize half of them are stupider than that.,George Carlin
"WY NKXOWMWKD BZK XN WEKZ KQWN GRNN, KQRE SQD TVE’K WK BRK XN ZXK?",SWUU FZBRFN,medium,"If stupidity got us into this mess, then why can’t it get us out?",Will Rogers
EX WMK WDJHGXBB NEX JDBN QDGOB VKND NEX BJMZZXBN VOXM DC MKL JMK V PKDQ.,MYGMEMJ ZVKWDZK,medium,He can compress the most words into the smallest idea of any man I know.,Abraham Lincoln
RWBREN CK NKZTD BORS EKX NRVC EKX’C CK CDXPY. SORS BVWW STRFO EKX SK YTTJ EKXD HKXSO NOXS.,TDPTNS OTHVPIBRE,medium,Always do sober what you said you’d do drunk. That will teach you to keep your mouth shut.,Ernest Hemingway
"QXP HWHFP QPFFA JA QB FBTP BJV CPWRXHBVA, LCI LFAB QB FBTP BJV PCPUWPA; NVBHLHFO HPMLJAP QXPO LVP RPCPVLFFO QXP ALUP NPBNFP.",R.Z. MXPAQPVQBC,medium,"The Bible tells us to love our neighbors, and also to love our enemies; probably because they are generally the same people.",G.K. Chesterton
"VLDDCZXQQ CQ VLGCZH L WLYHX, BLYCZH, BWEQX-SZCF JLACWR CZ LZEFVXY BCFR.",HXEYHX NKYZQ,medium,"Happiness is having a large, caring, close-knit family in another city.",George Burns
"DU CQE ZGLK KQ TLQZ ZIGK BQJ KIDLTW QU OQLAC, FQQT GK KIA SAQSFA IA BGMA DK KQ.",JQNQKIC SGNTAN,medium,"If you want to know what God thinks of money, look at the people he gave it to.",Dorothy Parker
"PGTQYG PQYYQNEOZ UQOGV TYQU K TYEGOF, FGMEFG NBEMB VQH OGGF UQDR.",KFFEDQO B. BKJJQMS,medium,"Before borrowing money from a friend, decide which you need most.",Addison H. Hallock
RCMCW ICCQ HQ DYNT NTC OJRCUCU. LWVP NTCZ LJDR NJ GJHW XCMCX. YN’U BTCVQCW.,AHCRNYR BWYUQ,medium,Never keep up with the Joneses. Drag them down to your level. It’s cheaper.,Quentin Crisp
"ABUAPB TKJ EUFBJ GT FUV VZB IBJ VU ZKAAGFBTT, CWV G ZKRB KPNKJT YGXWHBQ GY JUW ZKRB BFUWXZ EUFBJ, JUW SKF ZKRB K IBJ EKQB.",MUKF HGRBHT,medium,"People say money is not the key to happiness, but I have always figured if you have enough money, you can have a key made.",Joan Rivers
"JROACO UCA MG BSM YG WRKA HRYI, PSY YIAD JULA NCAUY UMTAOYGCO.",YGJ OMDQAC,medium,"Misers are no fun to live with, but they make great ancestors.",Tom Snyder
"MQXGQJ LMQ AG MQX MDGFQN GB OGHC, THGWVAJA VN VZQ’N NEJ OGHC EJ VZ ZFTTGZJA NG RJ AGVQU MN NEMN DGDJQN.",HGRJHN RJQLEIJX,medium,"Anyone can do any amount of work, provided it isn’t the work he is supposed to be doing at that moment.",Robert Benchley
J ZJRN HMPR; JV TFKGJDFVNK ON. J GFD KJV FDL ZMMR FV JV TMP WMAPK.,SNPMON R. SNPMON,medium,I like work; it fascinates me. I can sit and look at it for hours.,Jerome K. Jerome
LHWJU JHKFWJU WD SXOM FPOL KH LH. MHQ JXSXO AJHR RFXJ MHQ’OX IWJWDFXL.,CXDCWX JWXCDXJ,medium,Doing nothing is very hard to do. You never know when you’re finished.,Leslie Nielsen
XET’A SE YCEMTX HYRVTS ABF IECNX EIFH REM Y NVKVTS. ABF IECNX EIFH REM TEABVTS. VA IYH BFCF ZVCHA.,LYCP AIYVT,medium,Don’t go around saying the world owes you a living. The world owes you nothing. It was here first.,Mark Twain
MOO B’XL LXLZ HMQULE HMN MQ DPQLNU HLLW’N TMA YPZ MQ DPQLNU EMA’N HPZW.”   NKU. RBOWP.,NULXL VMZUBQ,medium,All I’ve ever wanted was an honest week’s pay for an honest day’s work.”   Sgt. Bilko.,Steve Martin
I KXPPQEQ QLCKIDYXB YF XBQ XZ DMQ ZQA DMYBEF I RQSFXB YF AYPPYBE DX RIH ZXS IBL BXD EQD.,AYPPYIT PXAQ NSHIB,medium,A college education is one of the few things a person is willing to pay for and not get.,William Lowe Bryan
"FZ APNB BFCP, F NIIKAP ERK, QSPAP FI ZR IKDS QSFZJ NI NBJPOAN.",CANZ BPORVFQT,medium,"In real life, I assure you, there is no such thing as algebra.",Fran Lebowitz
ZIXT IWM TGIWXMW XOIS JBLT. EBK ZIS’X LMX MNLOX ZIXT XB YKCC I TCMJ XOWBKLO TSBQ.,VMDD UICJMF,medium,Cats are smarter than dogs. You can’t get eight cats to pull a sled through snow.,Jeff Valdez
"F JZE’N QYAFYMY FE KYFEBWKEWNFZE, WEJ F JFJE’N QYAFYMY FE FN PRYE F PWX W RWDXNYK.",XRWEY KFBRFY,medium,"I don’t believe in reincarnation, and I didn’t believe in it when I was a hamster.",Shane Richie
DBK QOJ BHRD DBKHS BHPJ. QAVJO VIQV DBK IQXJ VB VITHE KN WBLJ BVIJO JGPKWJ.,YTRRD QOVIKO,medium,You are only young once. After that you have to think up some other excuse.,Billy Arthur
"DR HTC JPDMF VTOE AKM’J ATCMJ, JBH UCJJDMO JPBWW VTO NDEACDJE DM HTCB UTAFWJ KMV JPWM ODQDMO RDVT TMXH JIT TR JPWS.",UPDX UKEJTBWJ,medium,"If you think dogs can’t count, try putting three dog biscuits in your pocket and then giving Fido only two of them.",Phil Pastoret
BUI YFC’H XVOMVJV VJVEBHWMCD BUI WVFE XIH BUI YFC EVZVFH MH.,FCUCBRUIA,medium,You can’t believe everything you hear but you can repeat it.,Anonymous
P REBBWY WB P YNKBEM HAE SKNPDNB DAN BTEIN WM HAWSA EDANK YNEYFN PBBOTN DANKN'B ZWKN,VPM XNMMNDD,medium,A gossip is a person who creates the smoke in which other people assume there's fire,Dan Bennett
QTL AFWB QTEFP MAIJL QTXF OLEFP QXWDLN XOAHQ EJ FAQ OLEFP QXWDLN XOAHQ.,AJZXI MEWNL,medium,The only thing worse than being talked about is not being talked about.,Oscar Wilde
AB’R RT LPHF XNRAXY BT RPKKXRB RTZPBATCR EFXC JTP WTC’B MCTE BTT LPHF NSTPB BFX DYTSZXL.,LNZHTZL OTYSXR,medium,It’s so much easier to suggest solutions when you don’t know too much about the problem.,Malcolm Forbes
GSNGRS VKP’A YTXOS LNI VTKJL XC LNI YNP’A HXOS AUSE AUS WSLM.,EXWS ZSVUARS,medium,People can’t drive you crazy if you don’t give them the keys.,Mike Bechtle
ZFYOUGYOZ HFC WGO GD JOM IU DGNTU IDM HFC MFD’U TIEO I ZGDNWO UTGDN UF RFKKH IJFCU. UTIU IWRIHZ RFKKGOZ YO!,PTIKWGO JKFRD,medium,Sometimes you lie in bed at night and you don’t have a single thing to worry about. That always worries me!,Charlie Brown
"LSGT NCHK YSVJWKGT QKG FGGTQRGKA, VF’A VUOCKFQTF FC SQMG Q WCR AC FSQF ACUGCTG VT FSG SCHAG VA SQOON FC AGG NCH.",TCKQ GOSKCT,medium,"When your children are teenagers, it’s important to have a dog so that someone in the house is happy to see you.",Nora Ephron
"RZTILKWBL TY DXKNL KMT, PKRL HXNX HTNLZUJJXB KL MTBL. PKRL ZKFX WXFXN YTNMTRRXW RZUL.",KWTWDETIL,medium,"Thousands of years ago, cats were worshipped as gods. Cats have never forgotten this.",Anonymous
M VYIVSK XHHD IMRB IMZF. KHEFRMEFK M FUFZ VLL MR RH RBF JHHL.,I.X. JMFYLK,medium,I always cook with wine. Sometimes I even add it to the food.,W.C. Fields
