Cryptogram,Encrypted Author,Rating,Quote,Author
"PEW SJSNW PWNNY KY PI NIQW IKG RWJTESIGY, BRF BNYI PI NIQW IKG WRWVJWY; MGISBSNX SWZBKYW PEWX BGW TWRWGBNNX PEW YBVW MWIMNW.",T.A. ZEWYPWGPIR,medium,"The Bible tells us to love our neighbors, and also to love our enemies; probably because they are generally the same people.",G.K. Chesterton
"ZD CHG RSXP PH NXHR RKSP JHT PKZXNA HD UHXIC, FHHN SP PKI BIHBFI KI JSLI ZP PH.",THOHPKC BSONIO,medium,"If you want to know what God thinks of money, look at the people he gave it to.",Dorothy Parker
"DOVIFO DIFFIUQWC SIWOB VFIS N VFQOWT, TOLQTO URQLR BIP WOOT SIZG.",NTTQZIW R. RNEEILM,medium,"Before borrowing money from a friend, decide which you need most.",Addison H. Hallock
YUDUZ JUUT BT FOIC ICU PGYUQUQ. NZHL ICUE NGFY IG KGBZ RUDUR. OI’Q MCUHTUZ.,VBUYIOY MZOQT,medium,Never keep up with the Joneses. Drag them down to your level. It’s cheaper.,Quentin Crisp
"JRGJFR MDS EGURS YM UGC CAR QRS CG ADJJYURMM, LNC Y ADWR DFBDSM TYHNKRP YT SGN ADWR RUGNHA EGURS, SGN ODU ADWR D QRS EDPR.",ZGDU KYWRKM,hard,"People say money is not the key to happiness, but I have always figured if you have enough money, you can have a key made.",Joan Rivers
TRZSHOZ YJH FWMMG ZHK CHRWZ PTR’F SKZ JTLLURWGG RWIWD JTO TRZ.,GTCKWM M. ATPQGHR,medium,Anybody who tells you money can’t buy happiness never had any.,Samuel L. Jackson
"SFWMQW CQM YJ XVY KJ IFBM OFKT, PVK KTME SCZM RQMCK CYHMWKJQW.",KJS WYELMQ,medium,"Misers are no fun to live with, but they make great ancestors.",Tom Snyder
"HJDQJM RHJ VQ HJD HLQFJP QX UQGS, KGQNEVMV EP EYJ’P PZM UQGS ZM EY YFKKQYMV PQ OM VQEJI HP PZHP LQLMJP.",GQOMGP OMJRZBMD,medium,"Anyone can do any amount of work, provided it isn’t the work he is supposed to be doing at that moment.",Robert Benchley
Y DYRW SGCR; YP QVEJYFVPWE IW. Y JVF EYP VFZ DGGR VP YP QGC OGHCE.,AWCGIW R. AWCGIW,medium,I like work; it fascinates me. I can sit and look at it for hours.,Jerome K. Jerome
LMXCQ CMVAXCQ XU DKYR AZYL VM LM. RMG CKDKY TCMS SAKC RMG’YK BXCXUAKL.,OKUOXK CXKOUKC,medium,Doing nothing is very hard to do. You never know when you’re finished.,Leslie Nielsen
BKY’X TK IZKSYB GIFDYT XPM UKZWB KUMG FKS I WDLDYT. XPM UKZWB KUMG FKS YKXPDYT. DX UIG PMZM RDZGX.,NIZA XUIDY,medium,Don’t go around saying the world owes you a living. The world owes you nothing. It was here first.,Mark Twain
EOO D’HM MHMW LEVPMI LEA EV CUVMAP LMMZ’A FEN RUW EV CUVMAP IEN’A LUWZ.”   AXP. SDOZU.,APMHM QEWPDV,easy,All I’ve ever wanted was an honest week’s pay for an honest day’s work.”   Sgt. Bilko.,Steve Martin
U LCOOWXW WMSLUEPCK PY CKW CV ERW VWD ERPKXY U BWGYCK PY DPOOPKX EC BUF VCG UKM KCE XWE.,DPOOPUQ OCDW TGFUK,easy,A college education is one of the few things a person is willing to pay for and not get.,William Lowe Bryan
"FX GYWU UFEY, F WDDSGY PHS, ROYGY FD XH DSZO ROFXK WD WUKYQGW.",EGWX UYQHIFRA,medium,"In real life, I assure you, there is no such thing as algebra.",Fran Lebowitz
NHWD NDHHYH SR NY OXTD WM YCD AYHCSCL XCU USRBYGDH NJXN EYWH JSLJ RBJYYV BVXRR SR HWCCSCL NJD BYWCNHE.,TWHN GYCCDLWN,hard,True terror is to wake up one morning and discover that your high school class is running the country.,Kurt Vonnegut
"ZJS VSPISZ QY VZTXDWR XQHWR DV ZQ KDCS JQWSVZKX, STZ VKQMKX, TWL KDS TUQHZ XQHI TRS.",KHPDKKS UTKK,easy,"The secret of staying young is to live honestly, eat slowly, and lie about your age.",Lucille Ball
IGR ZCK GXOI IGRXN GXBK. ZDPKC PJZP IGR JZWK PG PJTXQ RA UGSK GPJKC KFBRUK.,VTOOI ZCPJRC,medium,You are only young once. After that you have to think up some other excuse.,Billy Arthur
PH IVB IKWB HUS’YB 80 HBNYA UJC HUS’GB JBNYTBC BGBYHIVKTD. HUS UTJH VNGB IU YBWBWPBY KI.,DBUYDB PSYTA,medium,By the time you’re 80 years old you’ve learned everything. You only have to remember it.,George Burns
VML DIF’Q TORYOWO OWOGVQCYFU VML COIG TLQ VML DIF GOXOIQ YQ.,IFMFVAMLK,medium,You can’t believe everything you hear but you can repeat it.,Anonymous
N ZFAAHU HA N ULMAFD XKF GMLNWLA WKL ARFPL HD XKHGK FWKLM ULFUVL NAAERL WKLML'A OHML,CND ILDDLWW,medium,A gossip is a person who creates the smoke in which other people assume there's fire,Dan Bennett
MTA ZGYU MTNGW BZCPA MTKG EANGW MKYVAQ KEZLM NP GZM EANGW MKYVAQ KEZLM.,ZPOKC BNYQA,medium,The only thing worse than being talked about is not being talked about.,Oscar Wilde
VW’I IZ HNDS QGIVQO WZ INJJQIW IZBNWVZXI LSQX EZN PZX’W YXZL WZZ HNDS GTZNW WSQ UOZTBQH.,HGBDZBH KZOTQI,medium,It’s so much easier to suggest solutions when you don’t know too much about the problem.,Malcolm Forbes
TLCTNL KGF’O IYPHL MCR KYGVM PJ MCR ICF’O XPHL OELW OEL SLMD.,WPSL QLKEONL,easy,People can’t drive you crazy if you don’t give them the keys.,Mike Bechtle
ZACPJYCPZ WAE QYP YL MPR IJ LYFUJ ILR WAE RAL’J UIBP I ZYLFQP JUYLF JA KAXXW IMAEJ. JUIJ IQKIWZ KAXXYPZ CP!,VUIXQYP MXAKL,medium,Sometimes you lie in bed at night and you don’t have a single thing to worry about. That always worries me!,Charlie Brown
"ZI VHL LZL FHG ZFGMFL IHE JC GH MDG DFZXDRC, GYMF KYS LZL YM XDOM GYMX HJG HI XMDG?",BHYF TRMMCM,easy,"If God did not intend for us to eat animals, then why did he make them out of meat?",John Cleese
"NZXD CZX NEOCPXLL ELMXI OJ O NEDCXI FU TOBBE GVC ODCY JYVP YP XOWZC LKOGXL, O LEOI, ‘JYVP. O IYD’C CZODM O GED XEC XOWZC.'",UYWO AXPPE,medium,"When the waitress asked if I wanted my pizza cut into four or eight slices, I said, ‘Four. I don’t think I can eat eight.'",Yogi Berra
"OGV UCC PEADRPUCB UTA JUZ. MRVEGXV EWZTGIAO UOZ GKWIAO, NGT AKUDSCA, VEATA MGXCZ JA OG MUW VG DUHA MUVAT, U LRVUC ROITAZRAOV RO JAAT.",ZULA JUTTW,medium,"Not all chemicals are bad. Without hydrogen and oxygen, for example, there would be no way to make water, a vital ingredient in beer.",Dave Barry
A TFCTGW RLLE CAVS CAID. WLXDVAXDW A DYDI TPP AV VL VSD BLLP.,C.R. BADFPW,hard,I always cook with wine. Sometimes I even add it to the food.,W.C. Fields
BNUBCK YA KASIM UGBE CAP KBFY CAP’Y YA YMPRT. EGBE UFNN EIBDG CAP EA TIIW CAPM XAPEG KGPE.,IMRIKE GIXFROUBC,medium,Always do sober what you said you’d do drunk. That will teach you to keep your mouth shut.,Ernest Hemingway
"FTT UQN UQKLYD K TKEN UV HV FMN NKUQNM KJJVMFT, KTTNYFT, VM AFUUNLKLY.",FTNBFLHNM SVVTTGVUU,hard,"All the things I like to do are either immoral, illegal, or fattening.",Alexander Woollcott
"BUJMRB FORL JVU WZDFW RZ QUUM LROEDC LZTUCJP, MPDFW DF BZLEDRJML CPDFW ZQ FZRBDFW.",VUCC QZY,medium,"Health nuts are going to feel stupid someday, lying in hospitals dying of nothing.",Redd Fox
AB IUQBLZF UACZH QBUTYGJ NBUFHN ACCEW. OCZ RUO TYB CL U RYWXQYGH.,RUQE HVUYG,hard,Be careful about reading health books. You may die of a misprint.,Mark Twain
"YM YE PEUFUEE MW MBZ MW NWFX Q HUBEWO MW QOZMNYOI NU EQZE LNYFU NU’E SQXFZ YO FWRU, XBPOV, WB BPOOYOI GWB WGGYTU.",J. JYBXEWOI,medium,"It is useless to try to hold a person to anything he says while he’s madly in love, drunk, or running for office.",B. Birdsong
XFI URKH XJSI CUSI WIKKUBC MNI IOIN CIIR BJXF XFIJN BJOIC JC MWXIN XFIH’OI EIIR JRPJYXIP.,DJR FQEEMNP,medium,The only time some fellows are ever seen with their wives is after they’ve been indicted.,Kin Hubbard
"NK GVB KGVTENTS KOQJXBH COTQXE VH QG MOBX OPGVQ QJX BXHQ GK QJX CGBAE, QJXU CGVAET’Q JOZX EXMAOBXE QJXNB NTEXRXTEXTMX KBGD NQ.",HQXRJXT MGAPXBQ,medium,"If our Founding Fathers wanted us to care about the rest of the world, they wouldn’t have declared their independence from it.",Stephen Colbert
"QD TU DQZLU GMH SMA’U LHRROOS, UZG, UZG TYTQA. UEOA BHQU. UEOZO’L AM HLO COQAY T STKA DMMJ TCMHU QU.",I.R. DQOJSL,medium,"If at first you don’t succeed, try, try again. Then quit. There’s no use being a damn fool about it.",W.C. Fields
LHQW MPVLW OPTTYDWLL BOWXWJWX IOWG SH; HIOWXL BOWDWJWX IOWG SH.,PDHDGQHVL,hard,Some cause happiness wherever they go; others whenever they go.,Anonymous
JGIMRMA LKYC OIPMZ FKP’B VWZ GKTTYPMLL LYOTEZ CYCP’B UPIJ JGMAM BI XI LGITTYPX.,VI CMAMU,medium,Whoever said money can’t buy happiness simply didn’t know where to go shopping.,Bo Derek
"J UAYZ FX HPZ MFBQ AW VJB NPA, NPZB SAR JXM PFV PAN PZ FX, PZ HZGGX SAR.",OPJBBFBK CAGGAOM,easy,"A bore is the kind of man who, when you ask him how he is, he tells you.",Channing Pollock
QLV YVIVC GVFQ DHVOQ DYFVCCANF FLV VOQZ MGSP SM LVC WSYIVCQOFDSY.,XVOY PVKQFVC,medium,She never lets ideas interrupt the easy flow of her conversation.,Jean Webster
AR HCW HMNKJRTT QAR NMTQ BMJOT LWQM QAR TNCFFRTQ LORC MZ CWI NCW L XWMB.,CSJCACN FLWHMFW,medium,He can compress the most words into the smallest idea of any man I know.,Abraham Lincoln
"PT KSO KMGO BJGOJXO BZTB, ‘KJ GZQO Z NJXU BKJYT BSJYK,’ MK’B KJJ NZKO.",WJX SOYJNW,medium,"By the time someone says, ‘To make a long story short,’ it’s too late.",Don Herold
RUL JWIL RUWJB VFTQR LBTRWMRM WM RUVR RULP HTJ’R RVYC VFTQR TRULE XLTXYL.,YQIWYYL M. UVEXLE,medium,The nice thing about egotists is that they don’t talk about other people.,Lucille S. Harper
KIDKMI XOD COSTL COIQ LTDX IGIZQCOSTA JZI J AZIJC JTTDQJTUI CD CODVI DE RV XOD BD.,SVJJU JVSHDG,easy,People who think they know everything are a great annoyance to those of us who do.,Isaac Asimov
"GR WKYPDPMY PM MWDSWRS XLW ZGBBM WZZ YLS SDKPCS MYGYS JAPBNPRT, GRN GZYSC 50 ZBWWCM MGHM, ‘MW ZGC MW TWWN!'",GRWRHDWAM,easy,"An optimist is someone who falls off the Empire State Building, and after 50 floors says, ‘So far so good!'",Anonymous
NTC DEFC GJSN JKQBN KCEDP J GCZZEXEZN EZ NTJN AQB JSC FQDZNJDNMA KCEDP CENTCS GSQOCD SEPTN QS GMCJZJDNMA ZBSGSEZCR.,PCQSPC IEMM,easy,The nice part about being a pessimist is that you are constantly being either proven right or pleasantly surprised.,George Will
ZRU BWZGSGKZ WABPIXGSK ZRXZ LU IGQU GV ZRU FUKZ BN XII WBKKGFIU LBAIEK; XVE ZRU WUKKGSGKZ NUXAK ZRGK GK ZAMU.,HXSUK FAXVPR PXFUII,medium,The optimist proclaims that we live in the best of all possible worlds; and the pessimist fears this is true.,James Branch Cabell
N’K DGS GVVBDHBH ZM ZJGDHB EGWBP ZBOFLPB N WDGR N’K DGS HLKZ…FDH N FJPG WDGR SXFS N’K DGS ZJGDHB.,HGJJM IFASGD,easy,I’m not offended by blonde jokes because I know I’m not dumb…and I also know that I’m not blonde.,Dolly Parton
MU YZU 10% TE TYL GLKNQZ. NSKVNQU BTM SYDB MU DTYCP KDDTSRCNZB NE MU YZUP HBU THBUL 60%.,UCCUQ PUVUQULUZ,medium,We use 10% of our brains. Imagine how much we could accomplish if we used the other 60%.,Ellen DeGeneres
BT UVGAZASAKZ KG WZ AZSVEEVQSJWE AL LKBVKZV FOK QWZ EALSVZ SK SOV FAEEAWB SVEE KCVHSJHV FASOKJS SOAZIAZD KG SOV EKZV HWZDVH.,YAEET QKZZKEET,medium,My definition of an intellectual is someone who can listen to the William Tell Overture without thinking of the Lone Ranger.,Billy Connolly
DQG DPJMAK ZTH JMWJMJDH: DPH BMJSHTKH ZMX PBYZM KDBEJXJDU; ZMX J’Y MGD KBTH ZOGBD DPH BMJSHTKH.,ZFOHTD HJMKDHJM,easy,Two things are infinite: the universe and human stupidity; and I’m not sure about the universe.,Albert Einstein
BFKYN EP FEU XBHVKC BFA SMAJSQA VAJXEY KX SYC JASZKWA FSZP EP BFAR SJA XBHVKCAJ BFSY BFSB.,QAEJQA DSJZKY,easy,Think of how stupid the average person is and realize half of them are stupider than that.,George Carlin
"QI TWKNQPQWF VXW KT QCWX WMQT HATT, WMAC YMF RDC’W QW VAW KT XKW?",YQGG JXVAJT,easy,"If stupidity got us into this mess, then why can’t it get us out?",Will Rogers
"L GDB’A RXWLXYX LB PXLBJIPBIALDB, IBG L GLGB’A RXWLXYX LB LA FUXB L FIO I UISOAXP.",OUIBX PLJULX,medium,"I don’t believe in reincarnation, and I didn’t believe in it when I was a hamster.",Shane Richie
WVRWMQ CT NT TNIFO KFTKVF’Q PEHFOWVQ; TNIFORZQF NIFM RTH’N BTJF NT MTEOQ.,MTCZ SFOOW,easy,Always go to other people’s funerals; otherwise they won’t come to yours.,Yogi Berra
